@relation segment
@attribute region-centroid-col real
@attribute region-centroid-row real
@attribute region-pixel-count real
@attribute short-line-density-5 real
@attribute short-line-density-2 real
@attribute vedge-mean real
@attribute vegde-sd real
@attribute hedge-mean real
@attribute hedge-sd real
@attribute intensity-mean real
@attribute rawred-mean real
@attribute rawblue-mean real
@attribute rawgreen-mean real
@attribute exred-mean real
@attribute exblue-mean real
@attribute exgreen-mean real
@attribute value-mean real
@attribute saturation-mean real
@attribute hue-mean real
@attribute class {brickface,sky,foliage,cement,window,path,grass}
@data
117,147,9,0,0,0.611111,0.107407,0.777778,0.562963,6.77778,5.44444,11,3.88889,-4,12.6667,-8.66667,11,0.643678,-1.78339,brickface
13,191,9,0,0,3.55556,5.40741,7.77778,40.0296,25.2963,23.5556,29.8889,22.4444,-5.22222,13.7778,-8.55556,30.1111,0.237113,-1.85826,path
190,45,9,0,0,0.666667,0.666666,0.777779,0.54433,108.963,95.8889,126.889,104.111,-39.2222,53.7778,-14.5556,126.889,0.244289,-2.37181,sky
74,129,9,0,0,0.222222,0.0296296,0.111111,0.0296296,0.518518,0,1.55556,0,-1.55556,3.11111,-1.55556,1.55556,1,-2.0944,foliage
73,194,9,0,0,3.22222,2.33492,4.61111,3.35604,60.7778,53.4444,76.1111,52.7778,-22,46,-24,76.1111,0.309253,-2.06055,path
128,140,9,0,0,7.83333,7.03246,0.666667,0.298143,27.6667,24.8889,33.5556,24.5556,-8.33333,17.6667,-9.33333,33.5556,0.266206,-2.05389,cement
194,118,9,0,0,0.444445,0.118518,0.444445,0.162963,6.25926,7.55556,7.66667,3.55556,3.88889,4.22222,-8.11111,7.77778,0.543871,-1.0762,brickface
92,121,9,0,0,1.44444,1.82168,2.05556,2.05931,14.963,9.55556,23.4444,11.8889,-16.2222,25.4444,-9.22222,23.4444,0.596422,-2.23536,foliage
125,149,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
164,45,9,0,0,1.05556,0.596299,1,0.222219,101.926,88.1111,124.556,93.1111,-41.4444,67.8889,-26.4444,124.556,0.292503,-2.23832,sky
14,60,9,0,0,0.555555,0.785184,1.05556,0.062963,19.3333,18.8889,24.7778,14.3333,-1.33333,16.3333,-15,24.7778,0.419248,-1.62339,brickface
225,36,9,0,0,0.444445,0.272166,0.388889,0.327731,7.92593,5,13.6667,5.11111,-8.77778,17.2222,-8.44444,13.6667,0.634921,-2.1073,window
127,118,9,0.222222,0,1.72222,1.52963,3.44444,9.4963,22.7407,21.5556,29,17.6667,-3.55556,18.7778,-15.2222,29,0.390398,-1.70739,brickface
19,62,9,0,0,11.2222,0.8861,0.666667,0.365146,62.8148,53.7778,80,54.6667,-27.1111,51.5556,-24.4444,80,0.329364,-2.12621,cement
64,186,9,0,0,2.16667,1.94444,6.83333,53.5889,30.7778,27.5556,37.8889,26.8889,-9.66667,21.3333,-11.6667,37.8889,0.276726,-2.04631,path
152,247,9,0,0.222222,1.61111,1.21852,7.11111,4.34075,21.9259,21.1111,25.1111,19.5556,-2.44444,9.55556,-7.11111,25.1111,0.215788,-1.75548,grass
233,81,9,0,0,0.611113,0.329631,1.05556,0.551853,90.4074,75.6667,116.444,79.1111,-44.2222,78.1111,-33.8889,116.444,0.350039,-2.18233,sky
19,145,9,0,0,0.888889,1.67407,2.11111,4.38519,2.07407,0.666667,3.55556,2,-4.22222,4.44444,-0.222222,3.55556,0.457672,-2.56977,foliage
93,195,9,0,0,1.83333,1.20646,4.05556,2.12307,61.5926,54.6667,76.6667,53.4444,-20.7778,45.2222,-24.4444,76.6667,0.305593,-2.03712,path
13,73,9,0,0,1.38889,0.72963,2.61111,3.12963,19.0741,19.2222,24.1111,13.8889,0.444444,15.1111,-15.5556,24.1111,0.421504,-1.52425,brickface
114,184,9,0,0,0.722223,0.32963,9.38889,28.9519,31.1852,28.4444,37.1111,28,-8.22222,17.7778,-9.55556,37.1111,0.232343,-2.16033,path
127,120,9,0,0,0.5,0.477778,0.722222,0.596296,1.51852,0.111111,4.11111,0.333333,-4.22222,7.77778,-3.55556,4.11111,0.984127,-2.13309,foliage
138,185,9,0,0,3.05555,2.97707,1.94444,2.15424,57.0741,50.1111,71.1111,50,-20.8889,42.1111,-21.2222,71.1111,0.298025,-2.08885,path
235,249,9,0,0.111111,1.61111,2.42594,2.66667,1.50554,22.8519,19.7778,21.2222,27.5556,-9.22222,-4.88889,14.1111,27.5556,0.28661,2.28263,grass
129,136,9,0,0,2,1.55556,0.833333,0.122222,6.18518,3.66667,10.6667,4.22222,-7.55556,13.4444,-5.88889,10.6667,0.657744,-2.1753,window
140,124,9,0,0,1,0.444445,1.11111,1.05185,2.51852,0.222222,6.11111,1.22222,-6.88889,10.7778,-3.88889,6.11111,0.973765,-2.26746,foliage
126,141,9,0,0,1.38889,1.35185,0.888889,0.82963,3.25926,0.444444,7.66667,1.66667,-8.44444,13.2222,-4.77778,7.66667,0.953086,-2.25712,foliage
27,248,9,0.111111,0,1.61111,0.64693,3.16667,1.7224,15.2963,14.7778,12.8889,18.2222,-1.55556,-7.22222,8.77778,18.2222,0.312227,1.78351,grass
99,160,9,0,0,2,0.843274,3.05556,2.36095,28.037,21.1111,29.6667,33.3333,-20.7778,4.88889,15.8889,33.3333,0.367514,2.82711,grass
155,127,9,0,0,2.16667,1.70945,15.3889,4.14417,36.5185,35.8889,41,32.6667,-1.88889,13.4444,-11.5556,41,0.204536,-1.67677,cement
128,161,9,0,0,0.555555,0.251852,0.777778,0.162963,7.14815,5.55556,10.8889,5,-4.77778,11.2222,-6.44444,10.8889,0.540918,-1.99631,cement
146,201,9,0,0,0.611111,0.327731,1.05556,0.800462,10.6667,8.66667,7,16.3333,-6,-11,17,16.3333,0.570851,1.90926,grass
23,113,9,0,0,0.722222,0.996296,2.77778,2.78518,14.7037,17.1111,16.8889,10.1111,7.22222,6.55556,-13.7778,18.3333,0.451359,-0.9757,brickface
196,100,9,0,0,7.27778,83.3518,5.77778,68.8741,8.14815,4.66667,13.3333,6.44444,-10.4444,15.5556,-5.11111,13.3333,0.738034,-2.28987,foliage
63,33,9,0,0,0.611111,0.329628,0.722221,0.0629628,111.333,97.7778,132,104.222,-40.6667,62,-21.3333,132,0.25913,-2.29042,sky
76,106,9,0,0,1.83333,3.54444,2.22222,3.71852,3.66667,1,7.88889,2.11111,-8,12.6667,-4.66667,7.88889,0.903571,-2.25554,foliage
109,111,9,0,0,1.44444,1.08866,1.5,1.47196,57.7778,51.3333,71.6667,50.3333,-19.3333,41.6667,-22.3333,71.6667,0.298892,-2.04516,cement
131,214,9,0,0,0.777778,0.651852,1.27778,0.240741,6.81482,5,4.77778,10.6667,-5.44444,-6.11111,11.5556,10.6667,0.568162,2.05833,grass
130,145,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
42,56,9,0,0,1.05556,0.951851,1.33333,1.6,22.7407,21.1111,30.2222,16.8889,-4.88889,22.4444,-17.5556,30.2222,0.440708,-1.75941,brickface
241,145,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
75,122,9,0,0,0.722222,0.240741,0.833333,0.388889,1.59259,0,4.44444,0.333333,-4.77778,8.55556,-3.77778,4.44444,1,-2.1536,foliage
96,92,9,0.111111,0,3.33333,2.97778,1.77778,0.651851,22.8889,21.7778,29.7778,17.1111,-3.33333,20.6667,-17.3333,29.7778,0.422223,-1.68265,brickface
151,163,9,0,0,2.05556,2.28519,18.1667,41.9889,40,34.5556,48,37.4444,-16.3333,24,-7.66667,48.1111,0.263846,-2.51749,path
136,216,9,0.111111,0,2.77778,1.32777,2.72222,2.98453,15.0741,11.4444,13.2222,20.5556,-10.8889,-5.55556,16.4444,20.5556,0.441675,2.28457,grass
82,120,9,0,0,5.66667,46.9333,5.94444,60.063,6.96296,3.33333,12.7778,4.77778,-10.8889,17.4444,-6.55556,12.7778,0.822893,-2.24013,foliage
85,121,9,0,0,1.61111,1.06284,0.944445,0.712325,17.2222,8.88889,29.2222,13.5556,-25,36,-11,29.2222,0.696178,-2.33587,foliage
138,49,9,0,0,1.05556,0.92896,1.77778,1.06805,124.037,113.111,140.444,118.556,-32.7778,49.2222,-16.4444,140.444,0.194622,-2.30341,sky
212,234,9,0,0,0.444445,0.118518,1.05556,0.285185,7.11111,6,4.22222,11.1111,-3.33333,-8.66667,12,11.1111,0.621324,1.83826,grass
112,201,9,0,0,2.83333,1.29529,3.11111,1.78471,21.2963,16.6667,20.3333,26.8889,-13.8889,-2.88889,16.7778,26.8889,0.381912,2.46794,grass
123,187,9,0,0,2.66667,1.84992,3.44444,1.65552,58.6667,52.5556,72.5556,50.8889,-18.3333,41.6667,-23.3333,72.5556,0.298553,-2.01352,path
151,147,9,0,0,0.444445,0.42963,0.722222,0.107407,6.03704,5.66667,9.22222,3.22222,-1.11111,9.55556,-8.44444,9.55556,0.652248,-1.50837,brickface
186,12,9,0,0,0.444444,0.272165,2.33333,1.96638,6.25926,3.88889,11.3333,3.55556,-7.11111,15.2222,-8.11111,11.3333,0.687302,-2.05798,window
22,60,9,0,0,0.5,0.3,1.27778,0.729629,19.9259,19.3333,25.7778,14.6667,-1.77778,17.5556,-15.7778,25.7778,0.430484,-1.65005,brickface
108,146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foliage
81,229,9,0.111111,0,2.44444,0.785185,2.05556,3.21852,10.9259,7.44444,10.6667,14.6667,-10.4444,-0.777778,11.2222,14.6667,0.496142,2.55746,grass
249,87,9,0,0,14.3889,327.263,13.3889,62.0185,31.7037,28.2222,39.4444,27.4444,-10.4444,23.2222,-12.7778,39.4444,0.312482,-2.01338,cement
178,16,9,0,0,0.333335,0.298143,1.5,1.20646,112.963,99.5556,131,108.333,-40.2222,54.1111,-13.8889,131,0.239899,-2.385,sky
252,181,9,0,0,1,0.632456,2.05556,2.03761,16.2963,13.5556,13.8889,21.4444,-8.22222,-7.22222,15.4444,21.4444,0.385555,2.14143,grass
138,116,9,0,0,0.611111,0.151852,0.444445,0.207407,6.48148,7.55556,8.22222,3.66667,3.22222,5.22222,-8.44444,8.33333,0.559171,-1.19107,brickface
85,124,9,0,0,1.22222,0.934919,2.38889,1.67884,14.6667,7.55556,24.1111,12.3333,-21.3333,28.3333,-7,24.1111,0.691123,-2.39668,foliage
20,170,9,0,0,0.777778,0.785184,1.11111,0.562962,19.5556,15.1111,18.8889,24.6667,-13.3333,-2,15.3333,24.6667,0.387467,2.50439,grass
74,122,9,0,0,1.22222,1.24127,1.33333,0.699206,16.1481,8,28.3333,12.1111,-24.4444,36.5556,-12.1111,28.3333,0.718221,-2.30599,foliage
173,67,9,0,0,1.11111,1.24127,0.222222,0.344265,0.740741,0.777778,1.11111,0.333333,0.111111,1.11111,-1.22222,1.11111,0.231481,-1.51268,window
120,51,9,0,0,1.05555,0.712324,2.05555,0.742867,124.407,113.222,141.111,118.889,-33.5556,50.1111,-16.5556,141.111,0.197569,-2.30531,sky
200,31,9,0,0,2.11111,1.22323,5.05556,2.67845,11.2593,8.33333,16.5556,8.88889,-8.77778,15.8889,-7.11111,16.5556,0.500944,-2.17195,window
222,62,9,0,0,0.277778,0.250924,0.666667,0.557773,6.40741,4.11111,11.4444,3.66667,-6.88889,15.1111,-8.22222,11.4444,0.680808,-2.03415,window
192,142,9,0.111111,0,0.5,0.122222,1.5,0.522222,4.66667,6.77778,4.88889,2.33333,6.33333,0.666667,-7,6.77778,0.662037,-0.604864,brickface
188,182,9,0,0,1.61111,0.742868,4.16667,2.12655,58,51.8889,72.4444,49.6667,-18.3333,43.3333,-25,72.4444,0.314281,-1.99159,path
38,134,9,0,0,0.166667,0.182574,0.333333,0.210819,1.03704,0,3.11111,0,-3.11111,6.22222,-3.11111,3.11111,1,-2.0944,window
94,80,9,0,0,2.16667,1.1879,0.833334,0.505525,58.3333,51.2222,72.1111,51.6667,-21.3333,41.3333,-20,72.1111,0.290834,-2.11635,cement
8,102,9,0,0,1.88889,1.85185,1.94444,3.26296,17.9259,18.5556,21.8889,13.3333,1.88889,11.8889,-13.7778,21.8889,0.390329,-1.44704,brickface
117,181,9,0.111111,0,1.83333,1.24276,3,2.0548,46.8889,43,56.8889,40.7778,-11.6667,30,-18.3333,56.8889,0.283287,-1.94909,path
27,112,9,0,0,0.222222,0.344265,0.111111,0.272166,0.148148,0,0.444444,0,-0.444444,0.888889,-0.444444,0.444444,0.222222,-2.0944,foliage
214,246,9,0,0,2.83333,1.91775,3,1.98886,17.5185,14.2222,15.4444,22.8889,-9.88889,-6.22222,16.1111,22.8889,0.391548,2.23285,grass
142,100,9,0,0,0.666667,0.266666,1.38889,0.907407,22.2222,21.7778,28.4444,16.4444,-1.33333,18.6667,-17.3333,28.4444,0.421994,-1.6233,brickface
79,104,9,0.111111,0,0.944445,0.374074,1.5,1.01111,65.2963,59.7778,78,58.1111,-16.5556,38.1111,-21.5556,78,0.254697,-2.00783,cement
15,123,9,0,0,0.444444,0.118518,0.444444,0.118519,4.55556,6,5.33333,2.33333,4.33333,2.33333,-6.66667,6,0.61164,-0.853547,brickface
110,196,9,0,0.111111,3.66667,1.8619,6.88889,4.86103,52.4815,46.8889,65,45.5556,-16.7778,37.5556,-20.7778,65,0.29763,-2.0226,path
64,196,9,0,0,2.66667,2.3758,3.44444,2.2771,49.8889,44.3333,61.4444,43.8889,-16.6667,34.6667,-18,61.4444,0.289997,-2.06386,path
68,127,9,0,0,1.05556,0.975629,1.27778,0.827759,16.3704,10.8889,26.4444,11.7778,-16.4444,30.2222,-13.7778,26.4444,0.601444,-2.03581,foliage
127,143,9,0,0,1.5,0.122222,0.888889,0.607407,4.18518,0.888889,9.44444,2.22222,-9.88889,15.7778,-5.88889,9.44444,0.915376,-2.25741,foliage
26,67,9,0.111111,0,1,0.88889,2.44444,3.18518,20,19.5556,25.8889,14.5556,-1.33333,17.6667,-16.3333,25.8889,0.436939,-1.6232,brickface
105,110,9,0,0,0.5,0.122222,1.94444,2.37407,4.22222,4.33333,6.33333,2,0.333333,6.33333,-6.66667,6.33333,0.708333,-1.53976,brickface
18,83,9,0,0.111111,6.16667,9.98889,12.8889,28.7852,14.3704,9,22.6667,11.4444,-16.1111,24.8889,-8.77778,22.6667,0.664785,-2.27421,foliage
114,121,9,0,0,0.444444,0.118518,0.611111,0.107407,6.40741,8,7.44444,3.77778,4.77778,3.11111,-7.88889,8,0.528219,-0.914324,brickface
45,108,9,0,0.111111,25.5,12.7954,27.2778,15.931,49.8148,41.7778,61.1111,46.5556,-24.1111,33.8889,-9.77778,61.1111,0.358975,-2.36049,foliage
2,245,9,0,0,1.88889,2.16296,3.16667,3.27778,6.40741,6.22222,6,7,-0.555556,-1.22222,1.77778,7.22222,0.191049,1.75665,grass
152,83,9,0,0,4.44444,1.32777,0.944444,0.680414,26.5185,23.3333,33.2222,23,-9.55556,20.1111,-10.5556,33.2222,0.307415,-2.06324,cement
148,109,9,0,0,0.999999,1.21106,1.22222,0.655462,49.4074,42.5556,62.8889,42.7778,-20.5556,40.4444,-19.8889,62.8889,0.325138,-2.10548,cement
7,18,9,0,0,1.27778,0.729626,0.944445,0.374079,138.63,133.333,147.556,135,-15.8889,26.7778,-10.8889,147.556,0.0963522,-2.21461,sky
17,64,9,0,0,1.44444,1.36296,1.66667,1.42222,18.8889,17.5556,25.1111,14,-4,18.6667,-14.6667,25.1111,0.441092,-1.75551,brickface
112,90,9,0,0,7.38889,6.94556,1.27778,0.879814,65.1852,57.6667,79.7778,58.1111,-22.5556,43.7778,-21.2222,79.7778,0.278345,-2.10881,cement
129,188,9,0,0,3.66667,2.01108,4.61111,2.40755,61.0741,53.7778,76,53.4444,-21.8889,44.7778,-22.8889,76,0.30013,-2.0791,path
172,183,9,0,0,2.88889,1.68215,4.05556,3.07258,56.3333,50.4444,70,48.5556,-17.6667,41,-23.3333,70,0.305472,-1.99758,path
58,217,9,0,0,1.38889,1.06284,1.66667,1.3499,11.9259,9.77778,9,17,-6.44444,-8.77778,15.2222,17,0.486598,2.00664,grass
10,94,9,0,0,0.444445,0.118519,0.722222,0.196296,2.25926,0.111111,6,0.666667,-6.44444,11.2222,-4.77778,6,0.986111,-2.18971,foliage
73,31,9,0,0,0.555556,0.45542,0.888889,0.344265,126.852,115.556,143.111,121.889,-33.8889,48.7778,-14.8889,143.111,0.192456,-2.33483,sky
46,88,9,0,0,1.5,1.36667,1.55556,1.27407,3.2963,0.666667,7.66667,1.55556,-7.88889,13.1111,-5.22222,7.66667,0.929574,-2.21654,foliage
176,187,9,0,0,1.77778,1.60093,2.33333,2.0221,54.7778,49,68,47.3333,-17.3333,39.6667,-22.3333,68,0.304126,-2.00961,path
63,201,9,0,0,1.44444,0.918519,0.944444,0.551852,7.77778,6.22222,5.55556,11.5556,-4.66667,-6.66667,11.3333,11.5556,0.543201,1.98299,grass
70,60,9,0,0,0.944445,1.3963,2.16667,1.36667,23.7778,22.4444,31,17.8889,-4,21.6667,-17.6667,31,0.420823,-1.71313,brickface
150,158,9,0,0,2.16667,1.63333,1.38889,0.418518,8.44444,7,12.2222,6.11111,-4.33333,11.3333,-7,12.2222,0.503086,-1.94345,cement
76,138,9,0,0.222222,3.22222,3.87967,5.5,2.42899,16.5185,9.88889,24.7778,14.8889,-19.8889,24.7778,-4.88889,24.7778,0.60922,-2.43954,foliage
124,29,9,0,0,1,0.711108,1.05555,0.907417,128.444,119.222,142.889,123.222,-27.6667,43.3333,-15.6667,142.889,0.165616,-2.27113,sky
170,121,9,0,0,2.16667,1.83485,2.72222,1.92546,32.3704,28.6667,40.5556,27.8889,-11.1111,24.5556,-13.4444,40.5556,0.313427,-2.02427,cement
123,94,9,0,0,0.500001,0.077778,0.833333,0.0333333,21.4444,16.8889,30.4444,17,-13.6667,27,-13.3333,30.4444,0.452182,-2.10097,window
193,154,9,0,0,1.72222,2.55185,2,1.86667,28.1481,21.5556,39.5556,23.3333,-19.7778,34.2222,-14.4444,39.5556,0.453533,-2.19107,cement
167,190,9,0,0,3.05556,0.854184,5.05556,2.78422,51.0741,44.8889,63.2222,45.1111,-18.5556,36.4444,-17.8889,63.2222,0.298958,-2.11269,path
235,120,9,0,0,0.444444,0.340741,0.5,0.3,1.44444,0,4,0.333333,-4.33333,7.66667,-3.33333,4,1,-2.15637,foliage
96,84,9,0,0,1.5,1.27778,1.61111,2.28519,23.8519,23.5556,30,18,-0.888889,18.4444,-17.5556,30,0.398791,-1.59887,brickface
87,146,9,0,0,0.944444,0.611616,5.11111,4.71247,43.1481,36.8889,55.8889,36.6667,-18.7778,38.2222,-19.4444,55.8889,0.347454,-2.08184,cement
222,114,9,0,0,0.277778,0.0629629,0.444444,0.0740741,5.44444,6.11111,7.33333,2.88889,2,5.66667,-7.66667,7.33333,0.603175,-1.31453,brickface
199,120,9,0,0,3.5,4.07778,8.33333,53.9556,39.3333,35.4444,47.7778,34.7778,-11.6667,25.3333,-13.6667,47.7778,0.272752,-2.04675,cement
107,146,9,0,0,1.88889,1.00741,2.11111,1.31852,21.3704,16.7778,29.6667,17.6667,-13.7778,24.8889,-11.1111,29.6667,0.432786,-2.16497,cement
227,222,9,0,0,2.11111,2.60741,2.61111,7.26296,9.33333,8.55556,7.66667,11.7778,-2.33333,-5,7.33333,11.7778,0.373693,1.90504,grass
31,96,9,0,0,2.33333,3.6,2.77778,6.16296,3.77778,1,8,2.33333,-8.33333,12.6667,-4.33333,8,0.909236,-2.26821,foliage
172,140,9,0,0,3,0.421636,0.666667,0.421637,3.22222,2.66667,5,2,-1.66667,5.33333,-3.66667,5,0.656085,-1.85316,window
208,90,9,0,0,2.88889,2.56297,0.722222,0.062963,5.14815,2.77778,10,2.66667,-7.11111,14.5556,-7.44444,10,0.797212,-2.07343,window
97,90,9,0,0,1.88889,2.56296,3.61111,8.50741,20.1481,15.6667,29,15.7778,-13.4444,26.5556,-13.1111,29,0.465278,-2.10152,window
44,123,9,0,0,1.05556,0.996296,1,0.844444,1.48148,0.222222,3.66667,0.555556,-3.77778,6.55556,-2.77778,3.66667,0.961905,-2.16176,foliage
100,111,9,0,0,1.61111,0.907407,1.61111,0.818518,19.9259,19.7778,24.8889,15.1111,-0.444444,14.8889,-14.4444,24.8889,0.391701,-1.58144,brickface
68,198,9,0,0.111111,2.88889,2.88033,3.05556,2.87067,58.0741,51.4444,71.8889,50.8889,-19.8889,41.4444,-21.5556,71.8889,0.291301,-2.06489,path
103,216,9,0,0,0.888889,0.651852,2.16667,1.14444,14.5556,10.8889,13.6667,19.1111,-11,-2.66667,13.6667,19.1111,0.431696,2.44755,grass
45,185,9,0.111111,0,2.16667,3.72222,1.94444,2.68519,18.6667,14.6667,17.1111,24.2222,-12,-4.66667,16.6667,24.2222,0.400872,2.36183,grass
72,31,9,0,0,1.11111,1.4963,1.33333,0.711108,135.926,129.889,145.556,132.333,-18.1111,28.8889,-10.7778,145.556,0.107616,-2.25501,sky
180,224,9,0,0,3.72222,3.70741,3.61111,5.61852,15.1852,11.6667,13.3333,20.5556,-10.5556,-5.55556,16.1111,20.5556,0.443375,2.29826,grass
92,104,9,0,0,1.72222,1.4363,1.83333,1.37841,100.519,87.2222,119.889,94.4444,-39.8889,58.1111,-18.2222,119.889,0.272403,-2.3262,sky
221,111,9,0,0,0.611111,0.240741,0.388889,0.240741,1.33333,0,4,0,-4,8,-4,4,1,-2.0944,foliage
31,88,9,0.111111,0,0.888889,0.607407,2.16667,1.98889,5.25926,1.55556,10.1111,4.11111,-11.1111,14.5556,-3.44444,10.1111,0.851379,-2.39666,foliage
233,211,9,0.111111,0,2.66667,6.08889,1.66667,1.73333,15.4444,12.4444,15.2222,18.6667,-9,-0.666667,9.66667,18.6667,0.335421,2.55496,grass
227,109,9,0,0,1.16667,0.983192,0.388889,0.389682,21.8519,18.4444,28.7778,18.3333,-10.2222,20.7778,-10.5556,28.7778,0.367141,-2.08276,window
160,110,9,0,0,0.833333,0.691214,0.444444,0.272165,31.6296,27.2222,39.3333,28.3333,-13.2222,23.1111,-9.88889,39.3333,0.307444,-2.18724,window
80,72,9,0,0,1.22222,1.0037,1.44444,1.16746,59,51.3333,74.4444,51.2222,-23,46.3333,-23.3333,74.4444,0.314606,-2.09022,cement
234,27,9,0.111111,0,0.833335,0.623609,2.05556,1.35674,122.667,111.556,138.667,117.778,-33.3333,48,-14.6667,138.667,0.195416,-2.33451,sky
132,91,9,0,0.111111,18.9444,188.507,33.4444,889.363,42.8148,35.8889,52.6667,39.8889,-20.7778,29.5556,-8.77778,52.6667,0.398824,-2.34606,foliage
8,39,9,0.111111,0,1.38889,1.12963,1.83333,0.699999,113.37,102.556,132,105.556,-32.4444,55.8889,-23.4444,132,0.222954,-2.19816,sky
206,105,9,0,0,0.277777,0.0629631,0.611111,0.151852,50.1852,45.6667,60.8889,44,-13.5556,32.1111,-18.5556,60.8889,0.277106,-1.99196,cement
51,56,9,0,0,0.888887,0.162963,0.722221,0.107408,126.444,116.222,141.667,121.444,-30.6667,45.6667,-15,141.667,0.179483,-2.30766,sky
140,103,9,0.111111,0,2.16667,3.41111,1.83333,2.16667,21.8519,21.2222,28,16.3333,-1.88889,18.4444,-16.5556,28,0.416239,-1.6344,brickface
196,93,9,0,0,1.77778,2.56296,1.5,0.922222,5,2,9.33333,3.66667,-9,13,-4,9.33333,0.80862,-2.32942,foliage
119,85,9,0,0,0.499999,0.299998,0.888887,0.607409,101.037,88.7778,122.556,91.7778,-36.7778,64.5556,-27.7778,122.556,0.275467,-2.18634,sky
32,240,9,0,0,1.27778,1.5408,2.27778,1.70511,12.1481,9.77778,9.33333,17.3333,-7.11111,-8.44444,15.5556,17.3333,0.470675,2.04387,grass
190,136,9,0,0,2.27778,1.52963,2.83333,0.61111,4.85185,2.88889,8.55556,3.11111,-5.88889,11.1111,-5.22222,8.55556,0.709751,-2.1239,cement
188,42,9,0,0,0.777779,0.54433,1.66667,1.26491,108.926,95.6667,126.222,104.889,-39.7778,51.8889,-12.1111,126.222,0.241934,-2.41039,sky
162,159,9,0,0,2.16667,0.960324,2.22222,1.45551,26.1111,25.2222,29.5556,23.5556,-2.66667,10.3333,-7.66667,29.5556,0.202846,-1.80255,cement
215,123,9,0,0,0.333333,0.133333,0.666667,0.0444444,1.37037,0,3.77778,0.333333,-4.11111,7.22222,-3.11111,3.77778,1,-2.16987,foliage
78,107,9,0,0,0.833333,0.655556,1.61111,1.92963,17.1852,18.3333,20.6667,12.5556,3.44444,10.4444,-13.8889,20.7778,0.395253,-1.3125,brickface
248,160,9,0,0,3,8.8889,2.16667,3.76667,43.9259,37.1111,57.1111,37.5556,-20.4444,39.5556,-19.1111,57.1111,0.354037,-2.11379,path
206,26,9,0,0,1.22222,1.49629,1.88889,1.40741,137.037,131.444,146.778,132.889,-16.7778,29.2222,-12.4444,146.778,0.105128,-2.18257,sky
77,186,9,0,0,2,2.66667,2.33333,3.55556,34.963,31.1111,43.4444,30.3333,-11.5556,25.4444,-13.8889,43.4444,0.303377,-2.03664,path
36,145,9,0,0,0.277778,0.196296,1.27778,2.06296,0.851852,0.333333,1.44444,0.777778,-1.55556,1.77778,-0.222222,1.44444,0.251852,-2.53095,foliage
72,111,9,0,0,0.5,0.3,0.944444,1.3963,1.2963,0,3.55556,0.333333,-3.88889,6.77778,-2.88889,3.55556,1,-2.13949,foliage
93,231,9,0,0,2.44444,2.42963,2.66667,3.15556,12.2963,8.77778,11.1111,17,-10.5556,-3.55556,14.1111,17,0.485216,2.39131,grass
192,157,9,0,0,1.05556,0.507408,0.777778,0.162963,18.3333,13.8889,17.2222,23.8889,-13.3333,-3.33333,16.6667,23.8889,0.418184,2.43862,grass
