@relation Cardiotocography
@attribute LB real
@attribute AC real
@attribute FM real
@attribute UC real
@attribute DL real
@attribute DS real
@attribute DP real
@attribute ASTV real
@attribute MSTV real
@attribute ALTV real
@attribute MLTV real
@attribute Width real
@attribute Min real
@attribute Max real
@attribute Nmax real
@attribute Nzeros real
@attribute Mode real
@attribute Mean real
@attribute Median real
@attribute Variance real
@attribute Tendency real
@attribute NSP {1,2,3}
@attribute class {1,2,3,4,5,6,7,8,9,10}
@data
134,0.005,0.001,0.007,0.004,0,0,61,1.2,0,5.9,83,90,173,4,0,150,143,148,19,1,1,6
130,0,0.001,0,0.001,0,0,78,0.2,84,2,28,105,133,6,0,131,130,132,1,1,3,9
122,0.002,0,0,0.007,0,0,13,3.2,0,20.8,129,51,180,5,1,119,119,121,62,0,1,7
126,0.007,0,0.003,0,0,0,48,0.7,0,6.4,37,118,155,2,0,133,135,135,6,0,1,2
116,0,0,0.005,0,0,0,48,0.6,26,5.5,12,114,126,1,0,120,120,122,0,0,1,1
156,0,0.001,0.005,0,0,0,53,0.8,3,19.7,91,102,193,3,0,161,159,161,3,0,1,1
142,0.01,0,0.007,0,0,0,40,1,0,2.1,57,111,168,6,0,147,148,149,6,0,1,2
136,0,0.002,0.008,0,0,0,67,1.5,11,4.7,38,115,153,4,0,140,133,138,4,0,1,1
138,0.001,0,0.003,0,0,0,40,0.8,7,10.8,49,105,154,5,0,142,141,143,1,1,1,1
122,0.001,0,0.005,0.001,0,0,21,1.7,0,14,37,105,142,1,0,125,123,125,3,0,1,1
112,0.003,0,0.004,0,0,0,24,1.3,8,10.4,40,104,144,0,1,114,114,114,3,-1,1,2
133,0,0,0,0,0,0,75,0.2,91,2.9,7,131,138,1,0,133,134,135,0,0,3,9
120,0,0.01,0,0,0,0,56,0.5,12,7.6,18,115,133,0,0,123,122,123,1,0,1,1
122,0,0,0.004,0.001,0,0,27,1.2,0,10.1,43,93,136,2,0,125,122,124,3,1,1,1
135,0.007,0,0.007,0,0,0,47,0.8,2,10,39,120,159,1,0,139,139,141,3,0,1,2
148,0,0.012,0,0,0,0,75,0.2,84,2.9,7,145,152,1,0,148,148,149,0,0,3,9
139,0.003,0,0.003,0,0,0,38,1,0,11.7,47,114,161,2,0,142,141,142,3,0,1,1
142,0.002,0,0.008,0.007,0,0,41,1.4,27,4.6,115,67,182,4,0,157,140,150,80,1,1,7
127,0.006,0,0,0.002,0,0,33,1.3,0,6.9,96,79,175,4,0,129,135,133,27,0,1,2
142,0.001,0.003,0.001,0.002,0,0,55,1.3,10,15.5,115,52,167,12,3,148,143,147,17,1,1,7
132,0,0.089,0.001,0.01,0,0,29,2.9,0,15.1,144,50,194,11,1,133,124,130,35,0,1,7
134,0,0,0.007,0.008,0,0,20,2.1,0,8.2,115,50,165,7,2,126,117,126,63,0,1,7
110,0.004,0.002,0.005,0.008,0,0.001,67,3.3,0,0,130,63,193,5,0,88,85,97,59,-1,3,8
131,0.002,0,0.005,0.005,0,0,42,1,11,4.6,102,51,153,6,0,143,134,141,34,1,1,6
120,0,0,0.007,0,0,0,49,0.8,2,10.5,32,104,136,4,0,116,120,121,4,0,1,1
128,0,0.002,0.007,0.005,0,0.002,65,2.6,0,0,129,63,192,6,0,103,92,114,28,0,3,8
126,0,0,0.004,0,0,0,34,1,4,8.3,24,118,142,2,0,136,132,134,2,0,1,1
134,0.003,0,0,0,0,0.005,64,1.7,0,0,114,66,180,6,1,88,101,102,88,-1,3,8
135,0.002,0,0.006,0,0,0,26,1.3,0,10.1,37,123,160,1,1,137,138,139,2,0,1,1
130,0.008,0.001,0.006,0.005,0,0,52,1.7,0,0.3,101,77,178,3,0,135,134,137,48,0,1,6
144,0,0.024,0,0,0,0,75,0.3,67,4.2,16,136,152,2,0,145,146,147,0,0,2,10
135,0.012,0.002,0.004,0,0,0,60,0.9,0,0.5,44,124,168,3,0,148,144,147,6,0,1,2
134,0.009,0.001,0.006,0.005,0,0,59,1.2,0,0.6,99,88,187,5,0,151,145,151,42,0,1,6
122,0,0,0,0,0,0,83,0.5,6,15.6,68,62,130,0,0,122,122,123,3,1,3,9
147,0.005,0.014,0.003,0,0,0,67,0.8,0,10.9,72,120,192,1,0,156,157,157,11,0,1,2
128,0.007,0.007,0.004,0.006,0,0.001,21,2.3,0,5.2,107,67,174,7,0,143,126,135,76,0,1,6
133,0,0.01,0.005,0,0,0,70,2.7,4,1.5,60,91,151,8,1,134,130,135,1,1,1,1
139,0,0.007,0,0,0,0,78,0.2,59,4.2,11,133,144,1,0,140,139,141,0,0,2,10
127,0.008,0,0.007,0.003,0,0,22,2.1,0,22.7,119,63,182,6,0,131,133,135,32,0,1,6
116,0,0,0.004,0.001,0,0,43,0.8,25,5.6,72,56,128,6,0,120,118,121,3,1,1,1
133,0,0,0.001,0.008,0,0,37,1.3,4,14.6,81,71,152,4,0,136,130,136,24,1,1,7
129,0,0.002,0.005,0.013,0,0,58,3.9,0,0,158,72,230,10,1,113,90,124,28,-1,1,7
122,0.004,0,0.001,0.006,0,0,13,3,0,21.1,129,51,180,6,1,122,122,123,54,0,1,6
146,0,0,0.006,0.002,0,0,49,0.9,32,8.7,80,86,166,3,0,152,147,151,11,1,1,1
112,0.008,0,0.006,0,0,0,25,1.3,0,7.3,37,105,142,1,0,114,115,115,4,-1,1,2
125,0.005,0.021,0,0,0,0,47,0.8,0,6.1,75,68,143,3,0,133,132,133,2,1,1,2
136,0.005,0,0.006,0,0,0,46,0.8,1,7.4,39,119,158,1,1,144,143,145,1,0,1,2
145,0,0,0.008,0,0,0,57,0.6,10,8.2,66,93,159,4,0,149,149,150,1,1,1,1
122,0,0,0.011,0.011,0,0,13,3.8,0,23.6,98,60,158,6,1,127,113,115,41,0,1,7
139,0,0.005,0,0,0,0,75,0.4,47,9.2,79,66,145,6,0,140,139,141,2,1,2,10
145,0.008,0,0.002,0,0,0,41,1.8,0,23.4,117,50,167,4,0,154,151,154,16,1,1,2
146,0,0,0.005,0.001,0,0,55,0.7,32,8.2,72,93,165,4,0,150,147,150,6,1,1,1
146,0,0.006,0,0,0,0,69,0.5,45,11,42,117,159,6,0,153,150,152,3,1,2,10
139,0,0.107,0,0.002,0,0,38,1.5,0,13.3,134,53,187,5,0,133,136,138,6,0,1,3
140,0.002,0.001,0.008,0.004,0,0,63,1.4,0,6.6,70,93,163,7,0,142,134,141,22,1,1,6
137,0.011,0.004,0.004,0.001,0,0,56,1.1,0,5.2,48,122,170,1,0,146,144,146,8,0,1,2
148,0,0.004,0.005,0,0,0,78,0.5,4,10,32,140,172,1,0,150,150,151,1,-1,2,10
130,0.001,0,0.008,0,0,0,54,0.6,6,8.7,30,116,146,2,0,133,133,134,1,0,1,1
133,0.003,0,0.008,0.003,0,0,16,2.1,0,13.4,130,68,198,5,1,141,135,138,13,0,1,6
132,0.007,0,0.01,0.012,0,0,56,2.9,0,0,126,60,186,7,0,144,114,139,103,0,1,6
130,0,0.003,0,0.003,0,0,74,0.4,42,2.5,60,105,165,6,0,131,128,131,3,0,2,10
127,0.009,0,0.007,0.002,0,0.001,22,1.7,0,0,129,52,181,8,0,140,136,142,63,1,1,6
137,0,0,0.008,0.005,0,0,59,1.8,0,7.2,102,64,166,7,1,142,133,140,18,1,1,7
151,0,0,0.006,0.006,0,0,64,1.1,26,3,150,50,200,11,2,156,150,156,38,1,2,7
135,0,0,0.005,0.003,0,0,51,0.6,2,8.9,30,116,146,1,0,138,134,137,3,1,1,7
120,0.003,0.008,0.004,0,0,0,41,1.1,0,9.2,71,105,176,6,0,123,131,127,30,-1,1,2
110,0.002,0,0.007,0.001,0,0,62,0.9,0,11.8,64,92,156,5,0,112,113,113,12,-1,1,2
125,0,0.001,0.009,0.009,0,0,63,1.6,0,1.7,70,68,138,4,0,130,116,124,32,1,1,7
137,0.006,0.005,0.005,0.001,0,0,59,1.4,0,7,48,122,170,2,0,146,141,143,8,0,1,2
120,0,0.008,0,0,0,0,51,0.7,15,7.4,21,109,130,1,1,123,121,123,0,0,1,1
134,0.011,0,0.01,0.004,0,0,56,1.4,0,0,101,86,187,5,0,151,152,160,44,1,1,6
129,0,0.003,0.006,0,0,0,38,1.2,0,12.5,54,111,165,4,1,133,132,134,2,0,1,3
133,0,0.001,0.005,0,0,0,78,0.8,59,2.6,13,131,144,1,0,136,134,136,0,-1,1,1
120,0,0,0.009,0,0,0,49,0.9,4,15.2,39,95,134,5,0,122,120,122,3,1,1,3
120,0.003,0,0.002,0,0,0,53,0.8,3,10.1,93,71,164,7,0,117,127,128,21,0,1,2
129,0.004,0,0.001,0,0,0,27,1.2,1,7.9,60,98,158,3,0,133,133,134,4,0,1,2
137,0.007,0.001,0.004,0.003,0,0,57,1.4,0,6.2,109,69,178,4,0,146,143,149,43,1,1,6
138,0,0.004,0,0,0,0,38,1.2,0,16.5,84,71,155,4,0,144,140,142,5,1,1,3
130,0.008,0.001,0.005,0,0,0,70,0.7,6,4.3,31,127,158,1,0,139,140,141,3,0,1,2
138,0,0,0.003,0,0,0,44,0.6,61,5.1,19,130,149,1,0,141,140,142,0,0,2,10
130,0.002,0,0.006,0,0,0,47,0.7,30,6.8,39,114,153,4,0,137,136,138,2,0,1,2
138,0.001,0.001,0,0,0,0,52,1,18,14.8,102,74,176,8,1,142,141,143,3,1,1,1
144,0.001,0,0.006,0,0,0,35,0.9,2,10.8,36,125,161,0,0,150,148,150,2,1,1,1
130,0.002,0,0.009,0,0,0,51,0.6,38,4.8,23,125,148,1,0,134,135,136,1,0,1,1
128,0,0.007,0.007,0.007,0,0,64,2.2,0,0,84,87,171,5,1,129,118,125,13,0,1,7
122,0,0,0,0,0,0,29,1.3,0,10.2,27,110,137,0,1,127,126,127,1,0,1,1
137,0.002,0.005,0.003,0.006,0,0,58,1.9,0,7.8,116,52,168,9,2,142,130,139,38,1,1,6
139,0.002,0,0.006,0,0,0,58,0.7,2,11.5,51,112,163,3,0,150,147,150,4,1,1,2
123,0.002,0,0.006,0,0,0,38,0.9,13,8,24,117,141,1,0,126,127,128,1,0,1,1
137,0,0.004,0.002,0.006,0,0,59,2,0,9.8,116,52,168,6,1,142,121,141,34,1,1,7
125,0.001,0.001,0.008,0.007,0,0,62,1.6,0,4.8,82,71,153,5,0,130,118,125,30,0,1,7
133,0,0,0.007,0,0,0,36,1,8,16.4,59,91,150,3,0,136,134,137,3,1,1,3
114,0,0,0.009,0,0,0,65,0.5,0,12,24,102,126,1,0,115,115,116,1,0,1,1
142,0.006,0,0.006,0,0,0,41,1,0,10.2,57,111,168,5,0,147,147,149,4,0,1,2
133,0,0.001,0.005,0.003,0,0.003,60,2.8,0,8.1,105,60,165,5,0,100,98,107,45,0,3,8
135,0.003,0,0.007,0,0,0,28,1.4,0,9.7,40,120,160,2,0,138,139,140,2,0,1,2
138,0.014,0,0.004,0,0,0,51,0.9,0,2.2,49,122,171,3,0,147,148,149,5,0,1,2
125,0.001,0.001,0.008,0.01,0,0,63,1.1,0,4.1,100,64,164,5,2,116,114,117,13,0,1,7
129,0,0,0.006,0.01,0,0.001,65,2.6,0,0,101,50,151,9,2,105,91,113,13,0,3,8
138,0,0.005,0.003,0,0,0,62,0.5,9,8.1,27,121,148,1,0,142,140,142,1,1,2,1
136,0.006,0,0.008,0,0,0,45,0.8,2,6.4,29,129,158,2,0,144,143,145,1,0,1,2
138,0.011,0,0.007,0.001,0,0,50,1.2,0,1.6,98,73,171,7,0,148,146,148,12,1,1,2
130,0.014,0.092,0.001,0,0,0,32,2.4,0,9.5,120,50,170,10,0,159,150,155,27,1,1,4
128,0.006,0.016,0.003,0,0,0,52,0.6,0,6.7,36,121,157,4,0,140,138,139,5,0,1,2
130,0,0,0.007,0,0,0,55,0.5,11,7.6,20,124,144,1,0,133,132,134,0,0,1,1
145,0,0.02,0,0,0,0,77,0.2,45,5.8,21,129,150,1,0,146,145,147,0,1,2,10
115,0,0,0.005,0,0,0,21,1.6,0,13.1,41,100,141,1,0,114,113,114,2,-1,1,1
120,0.003,0.003,0.003,0,0,0,40,1,0,8.7,64,112,176,4,0,123,132,128,31,-1,1,2
128,0.008,0.01,0.004,0.005,0,0,31,1.7,0,2.9,141,57,198,11,0,137,130,137,41,0,1,6
142,0,0.004,0,0,0,0,68,0.3,39,6.7,15,136,151,1,0,142,142,143,0,0,2,10
120,0,0,0.005,0.011,0,0,60,1.6,0,9,85,69,154,4,1,86,105,105,75,0,3,8
132,0,0,0.004,0.007,0,0,35,1.2,10,4.8,72,71,143,7,1,136,131,136,11,1,1,7
130,0.005,0.001,0.003,0.006,0,0,51,1.9,0,4.9,125,73,198,6,0,131,137,140,56,0,1,6
129,0.003,0,0,0,0,0,28,1.1,1,7.1,30,122,152,1,0,133,133,134,2,0,1,2
142,0.003,0,0.004,0,0,0,46,0.7,27,5.9,26,133,159,1,0,150,148,150,1,0,1,2
115,0.013,0,0.002,0,0,0,19,1.8,0,6.7,56,101,157,1,1,120,121,121,9,0,1,2
140,0.002,0.002,0.004,0.005,0,0,63,1.3,1,9.1,153,75,228,7,0,142,121,143,17,0,1,6
120,0,0.01,0.004,0,0,0,38,1.3,0,15.8,59,103,162,6,0,119,118,120,4,-1,1,3
127,0.01,0.006,0.004,0,0,0,43,1.9,0,18.5,124,60,184,10,0,133,137,138,16,0,1,2
136,0.001,0,0.004,0,0,0,39,0.8,28,6.6,33,124,157,4,0,141,139,141,1,0,1,1
154,0.006,0.002,0.003,0,0,0,48,0.7,0,7.4,66,123,189,3,2,161,164,164,8,0,1,2
143,0,0,0.006,0,0,0,63,0.5,35,6.5,33,128,161,4,0,147,146,148,0,0,2,10
143,0.004,0,0.005,0.002,0,0,22,1.8,0,11.5,85,99,184,5,0,151,149,152,29,0,1,6
130,0.004,0,0.011,0.002,0,0,52,2.7,0,2.2,89,76,165,5,0,139,129,135,20,0,1,6
135,0.011,0.002,0.004,0,0,0,60,0.9,0,0.5,39,124,163,1,0,148,143,146,6,0,1,2
136,0.004,0.051,0.004,0.002,0,0,63,1.8,0,6.4,76,96,172,8,0,142,132,143,5,0,1,2
133,0.003,0,0.004,0.004,0,0,30,1.5,0,5.3,102,67,169,9,1,147,137,144,40,1,1,7
123,0.012,0,0.002,0,0,0,22,2.2,0,6.7,52,100,152,2,0,131,132,133,4,0,1,2
137,0.009,0.003,0.004,0.001,0,0,57,1.2,0,5.9,48,122,170,1,0,146,144,145,8,0,1,2
134,0,0,0.005,0.007,0,0,21,1.9,0,8.6,104,50,154,9,2,126,117,127,64,1,1,7
144,0,0,0.008,0.001,0,0,60,0.4,8,7.2,33,123,156,0,0,147,145,148,2,1,2,10
130,0.009,0.041,0.004,0,0,0,43,1,0,4.1,110,71,181,3,0,153,143,146,17,1,1,4
136,0,0,0.007,0,0,0,39,0.9,0,12.6,41,110,151,3,0,139,139,140,1,1,1,1
121,0.007,0,0.01,0,0,0,41,0.8,0,6.6,48,105,153,3,0,150,135,137,32,1,1,4
132,0.007,0,0.01,0,0,0,33,1.2,0,14,64,103,167,5,0,150,141,141,18,0,1,2
130,0.005,0.001,0.001,0,0,0,72,0.9,9,4.8,31,127,158,1,0,139,139,141,3,0,1,2
144,0,0.002,0,0,0,0,47,0.8,11,13.6,90,74,164,5,1,153,151,152,3,1,2,5
148,0.004,0,0.005,0,0,0,44,0.8,8,9.4,31,142,173,4,0,157,156,158,1,0,1,2
132,0,0,0.006,0.008,0,0,15,3.2,0,16.9,100,50,150,10,2,133,122,130,41,1,1,7
136,0.004,0,0.005,0,0,0,42,0.7,22,4.5,37,120,157,3,0,141,141,142,1,0,1,2
133,0,0,0.001,0.001,0,0,44,0.8,13,17.8,65,82,147,2,0,140,136,139,8,1,1,3
129,0.003,0.005,0,0,0,0,61,0.4,7,6.7,67,111,178,4,0,143,138,140,7,0,1,2
115,0.002,0,0.006,0.002,0,0,19,1.7,0,14.2,59,89,148,1,1,120,118,121,5,0,1,1
152,0,0,0.004,0,0,0,62,0.4,67,3.9,10,152,162,1,0,160,158,160,0,1,2,10
133,0.003,0,0.007,0.002,0,0,28,1.4,0,15.9,54,109,163,3,0,140,138,139,9,0,1,2
133,0,0.003,0.005,0.004,0,0,62,2,0,1.6,100,62,162,3,0,133,119,128,44,0,1,7
143,0.005,0,0.005,0,0,0,44,1.1,5,12.2,45,128,173,4,0,147,148,149,4,0,1,2
123,0,0,0.007,0.002,0,0.002,26,4.3,0,19.4,146,50,196,8,1,126,105,113,117,0,3,8
125,0,0,0.004,0,0,0,44,0.7,15,8.7,21,120,141,0,0,131,130,131,1,0,1,1
147,0,0,0.005,0,0,0,48,0.6,52,5.2,18,149,167,2,0,160,158,159,0,0,2,5
140,0.002,0.001,0.007,0.004,0,0,64,1.2,0,5.9,68,93,161,2,0,143,135,142,19,1,1,6
143,0,0.001,0,0,0,0,64,0.4,19,6.5,17,137,154,2,0,144,144,145,0,0,2,10
106,0,0,0.01,0,0,0,63,0.6,0,12.4,27,95,122,1,0,112,110,112,1,0,1,1
146,0,0,0.002,0,0,0,61,0.4,53,6.8,45,118,163,5,0,157,154,157,2,1,2,5
130,0,0.009,0.006,0,0,0,67,0.5,22,14.3,84,72,156,12,0,143,140,143,4,1,2,5
137,0.013,0,0.007,0.003,0,0,54,2.8,0,4.8,136,52,188,9,2,164,141,165,48,1,1,6
138,0,0.002,0.009,0.014,0,0.002,60,2.6,0,0,106,55,161,8,2,117,99,117,80,0,3,8
129,0.009,0.035,0.003,0,0,0,41,1.1,0,2.9,135,65,200,4,1,133,147,142,60,0,1,4
144,0.002,0,0.005,0.001,0,0,34,1.2,5,10.2,80,102,182,4,0,157,152,155,17,0,1,6
121,0.003,0.002,0.003,0.005,0,0,58,1.5,0,8.9,96,67,163,7,1,122,116,120,25,0,1,6
133,0,0.006,0.007,0,0,0,68,3,1,1.3,57,91,148,8,0,133,129,134,2,1,1,1
148,0,0,0,0,0,0,65,0.4,21,6.5,17,145,162,0,0,156,155,157,0,0,2,10
130,0.003,0.005,0.006,0.003,0,0,52,3,0,3.3,76,87,163,6,0,139,130,136,15,0,1,6
133,0,0.008,0.003,0,0,0,61,0.5,4,7.8,16,128,144,1,0,135,135,136,0,0,2,10
127,0.008,0.003,0,0.001,0,0,35,1.2,0,5.1,119,62,181,6,0,133,138,134,27,0,1,2
145,0,0,0,0.002,0,0,57,0.5,0,7.3,46,111,157,1,1,150,146,149,6,1,1,1
144,0.005,0.001,0,0,0,0,67,0.9,0,9.7,98,72,170,4,0,146,147,149,4,1,1,2
133,0.005,0.189,0.007,0.002,0,0,26,1.6,0,12.9,87,71,158,2,0,141,135,139,13,1,1,6
121,0.003,0.008,0,0,0,0,52,0.6,2,8,21,117,138,0,0,125,127,128,2,0,1,1
121,0.005,0.002,0.001,0,0,0,55,1.4,0,13.7,73,96,169,6,0,124,127,127,19,0,1,2
125,0.004,0,0.004,0,0,0,32,1,0,6.3,50,114,164,2,0,127,131,130,9,-1,1,2
132,0.01,0,0.01,0,0,0,27,1.7,0,11.3,122,54,176,8,0,150,146,149,18,1,1,2
133,0,0.009,0.003,0,0,0,64,0.4,25,6.4,15,129,144,2,0,136,135,137,0,0,2,10
142,0,0,0.003,0,0,0,52,0.8,10,11,71,89,160,6,0,153,149,153,5,1,2,5
134,0.008,0.001,0.009,0.005,0,0,57,1.2,0,0,95,92,187,4,0,151,147,154,44,0,1,6
128,0.007,0,0.003,0.005,0,0,23,2.4,0,4.6,101,70,171,7,1,155,140,144,46,1,1,6
126,0.007,0,0.007,0,0,0,30,1.2,0,4.2,49,107,156,3,0,127,134,134,11,0,1,2
150,0,0.022,0,0,0,0,74,0.3,56,6.4,25,131,156,4,0,150,150,151,0,1,2,10
115,0.003,0,0.009,0.001,0,0,21,1.7,0,10.7,83,85,168,2,0,129,122,125,19,0,1,6
134,0,0,0,0,0,0,83,0.2,64,3.5,11,130,141,1,0,135,134,136,0,0,3,9
143,0,0,0.003,0,0,0,67,0.3,4,10.5,25,133,158,1,0,146,145,147,1,0,1,1
121,0.004,0.003,0.006,0.009,0,0,58,1.8,0,2.4,107,62,169,8,0,114,113,120,55,0,1,6
123,0.003,0.005,0,0,0,0,55,0.7,0,8.9,71,81,152,4,0,129,129,130,3,1,1,2
136,0,0,0.009,0,0,0,79,0.2,40,5.1,20,129,149,2,0,138,138,139,0,0,1,1
150,0,0,0,0,0,0,76,0.3,31,5.4,11,146,157,1,0,154,153,155,0,1,2,10
143,0,0,0.002,0,0,0,46,0.9,0,11.8,116,68,184,5,1,150,147,149,4,1,1,1
144,0,0,0.008,0,0,0,26,1.3,0,17,52,112,164,2,0,150,146,148,6,1,1,3
135,0,0.019,0.002,0,0,0,63,0.4,60,4,8,133,141,1,0,136,136,137,0,0,2,10
121,0.006,0.002,0.004,0.002,0,0,57,1.3,0,14.1,76,90,166,3,0,124,126,126,17,0,1,2
120,0,0,0.004,0.012,0,0,59,1.6,0,10.8,83,69,152,4,1,105,106,107,31,0,3,8
137,0,0,0,0,0,0,74,0.3,71,4,13,135,148,1,0,140,141,142,1,0,3,9
146,0.007,0,0.004,0,0,0,37,0.9,0,6.9,52,126,178,0,0,155,153,155,4,0,1,2
138,0.011,0,0.005,0,0,0,57,0.7,0,3.7,48,135,183,3,0,152,160,161,21,1,1,4
130,0.003,0,0.005,0,0,0,22,1.6,11,8.8,95,62,157,7,0,134,133,134,4,1,1,2
134,0,0,0.01,0,0,0,27,2.8,8,26.1,74,89,163,7,1,138,134,138,13,0,1,3
133,0.008,0,0.008,0.004,0,0,34,1.2,0,7.1,60,103,163,2,0,136,140,141,14,0,1,6
125,0.01,0.01,0.002,0,0,0,50,0.9,0,2.5,118,57,175,8,0,133,132,133,4,0,1,2
122,0.004,0,0.002,0,0,0,25,1.5,0,8.3,44,104,148,5,0,126,125,126,4,0,1,2
135,0,0,0,0,0,0,67,0.4,69,4.6,76,67,143,2,0,137,136,138,0,1,3,10
127,0.014,0.026,0.002,0,0,0,35,2.2,0,5.7,113,61,174,13,1,133,143,143,39,1,1,4
137,0,0.004,0.001,0,0,0,75,0.2,32,7,24,127,151,2,0,138,139,140,1,0,2,10
137,0.002,0,0,0.011,0,0,20,2,0,0,74,86,160,1,0,126,128,130,23,0,1,6
148,0,0.001,0,0.001,0,0,61,0.5,39,6.3,31,130,161,2,0,154,152,154,1,1,2,10
150,0,0,0,0,0,0,53,0.5,62,4.5,14,151,165,0,0,161,159,161,1,0,2,10
146,0.005,0,0.005,0.003,0,0,29,1.3,2,7.5,70,99,169,2,1,150,148,150,7,1,1,6
136,0.001,0,0.004,0,0,0,37,0.9,0,11.7,47,107,154,2,0,138,139,140,2,1,1,1
120,0.005,0.02,0.005,0,0,0,50,0.7,7,6.1,94,60,154,2,0,123,126,125,10,1,1,2
143,0,0.002,0,0,0,0,56,0.6,0,8.9,59,106,165,3,0,148,149,150,1,1,1,1
133,0.003,0.446,0.006,0.004,0,0.001,24,1.9,0,5.7,99,59,158,5,0,133,124,130,35,1,1,6
135,0.001,0.002,0,0,0,0,58,0.6,15,8,95,70,165,5,0,139,140,141,2,1,1,1
129,0.007,0.009,0.009,0.012,0,0,22,5.2,0,0,145,50,195,13,1,139,122,129,86,0,1,6
148,0,0,0.007,0,0,0,51,0.6,56,4.4,13,152,165,2,0,160,159,161,0,0,1,1
128,0.002,0,0.012,0.003,0,0,30,3.1,0,14.9,141,50,191,10,0,125,133,128,69,0,1,6
146,0,0,0.003,0,0,0,66,0.4,33,7,19,138,157,1,0,150,147,150,1,0,2,10
131,0.012,0,0.006,0,0,0,28,1.4,0,4.3,52,118,170,8,0,143,145,145,8,0,1,2
144,0.003,0,0.006,0,0,0,40,0.8,5,11.1,56,112,168,2,0,157,153,155,5,1,1,2
125,0,0,0.009,0.007,0,0.001,65,1.3,0,6.5,82,64,146,5,1,116,111,116,8,0,1,7
142,0.003,0,0.005,0.013,0,0,25,2.1,0,0,115,67,182,2,0,143,128,133,83,0,1,7
136,0,0,0.002,0,0,0,66,0.4,61,5.6,24,127,151,1,0,142,140,142,0,0,2,10
